source_id,name,publisher,date,type,url
reuters_law_firms,Reuters — DOJ subpoenas to 14 law firms,Reuters,2026-07-18,independent reporting,https://www.reuters.com/legal/government/trump-administration-discloses-subpoenas-law-firms-fight-with-us-lawyer-group-2026-07-18/
ft_law_firms,Financial Times — Big Law braces for second fight,Financial Times,2026-07-18,independent reporting (subscription),https://www.ft.com/content/44a3698f-6481-4e83-a50d-7db109768ea1
ap_esa,Associated Press — automatic threatened-species protections canceled,Associated Press,2026-07-18,independent reporting,https://apnews.com/article/endangered-species-trump-extinction-0659d56d66285ca502b4e776c1782799
doi_harm,Interior Department — rescission of ESA “harm” definition,U.S. Department of the Interior,2026-07-10,official administration statement,https://www.doi.gov/pressreleases/department-interior-restores-clear-esa-enforcement-rescinding-misguided-harm
doi_esa_final,Interior Department — final ESA regulation reforms,U.S. Department of the Interior,2026-07-17,official final-rule statement,https://www.doi.gov/node/67431
reuters_monuments,Reuters — reductions to two Utah national monuments,Reuters,2026-07-13,independent reporting,https://www.reuters.com/world/us/trump-slashes-size-two-utah-national-monuments-2026-07-13/
wh_monuments,White House fact sheet — Utah national monuments,The White House,2026-07-13,official administration statement,https://www.whitehouse.gov/fact-sheets/2026/07/fact-sheet-president-donald-j-trump-modifies-two-national-monuments-restoring-sensible-land-management/
wh_bears_ears,Presidential proclamation — Bears Ears,The White House,2026-07-13,primary official document,https://www.whitehouse.gov/presidential-actions/2026/07/modifying-the-bears-ears-national-monument/
wh_grand_staircase,Presidential proclamation — Grand Staircase–Escalante,The White House,2026-07-13,primary official document,https://www.whitehouse.gov/presidential-actions/2026/07/modifying-the-grand-staircase-escalante-national-monument/
reuters_iran,Reuters — formal notice that Iran hostilities resumed,Reuters,2026-07-13,independent reporting on presidential notice,https://www.reuters.com/world/us/trump-sends-congress-formal-notice-that-iran-conflict-has-resumed-2026-07-13/
reuters_gold_eagle,Reuters — AI and cybersecurity coordination group,Reuters,2026-07-14,independent reporting,https://www.reuters.com/technology/us-launch-ai-cybersecurity-coordination-group-white-house-says-2026-07-14/
wh_gold_eagle,White House release — Gold Eagle initiative,The White House,2026-07-14,official administration statement,https://www.whitehouse.gov/releases/2026/07/white-house-launches-gold-eagle-initiative-for-unprecedented-cybersecurity-vulnerability-coordination/
clerk_238,House Clerk Roll Call 238 — Sunshine Protection Act,"Office of the Clerk, U.S. House",2026-07-14,primary official vote record,https://clerk.house.gov/Votes/2026238
congress_hr139,Congress.gov — H.R. 139 Sunshine Protection Act,Congress.gov / Library of Congress,2025-01-03,primary bill text and CRS summary,https://www.congress.gov/bill/119th-congress/house-bill/139
clerk_240,House Clerk Roll Call 240 — Protecting Privacy in Purchases Act,"Office of the Clerk, U.S. House",2026-07-14,primary official vote record,https://clerk.house.gov/Votes/2026240
congress_hr1181,Congress.gov — H.R. 1181 Protecting Privacy in Purchases Act,Congress.gov / Library of Congress,2025-02-11,primary bill text and CRS summary,https://www.congress.gov/bill/119th-congress/house-bill/1181
shreve_projects,Rep. Shreve release — 17 community projects advance,Office of Rep. Jefferson Shreve,2026-06-24,official member statement,https://shreve.house.gov/media/press-releases/shreve-secures-committee-approval-17-community-projects-advancing-more-45
appropriations_shreve,House Appropriations — Shreve committee assignment,House Committee on Appropriations — Majority,2026-04-20,official committee statement,https://appropriations.house.gov/news/press-releases/cole-welcomes-rep-jefferson-shreve-appropriations-committee
wkkg_primary,WKKG — IN-6 primary results,101.5 WKKG / White River Broadcasting,2026-05-06,local reporting; results described as unofficial,https://wkkg.com/local-news/republican-incumbents-win-congressional-primaries/
shreve_district,Rep. Shreve — official district description and offices,Office of Rep. Jefferson Shreve,2026-07-18,official current reference,https://shreve.house.gov/about/our-district
record_repo,The Record source repository,PauseBeforeHarmProtocol / GitHub,2026-07-18,project source and version history,https://github.com/PauseBeforeHarmProtocol/the-record
record_readme,The Record README,PauseBeforeHarmProtocol / GitHub,2026-07-18,project documentation,https://github.com/PauseBeforeHarmProtocol/the-record/blob/main/README.md
in6_repo,The Record — IN-6 source repository,PauseBeforeHarmProtocol / GitHub,2026-07-18,project source and version history,https://github.com/PauseBeforeHarmProtocol/the-record-in6
in6_live,The Record — IN-6 legacy public archive,PauseBeforeHarmProtocol / GitHub Pages,2026-05-31,legacy public archive,https://pausebeforeharmprotocol.github.io/the-record-in6/
